month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,1차 금속 제조업|경기도|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,294.8,1차 금속 제조업,경기도,우수,N
2024-12-01,부동산업|경기도|최우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,289.25000000000006,부동산업,경기도,최우수,N
2024-12-01,화학물질 및 화학제품 제조업; 의약품 제외|대구광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,280.7390740044355,화학물질 및 화학제품 제조업; 의약품 제외,대구광역시,최우수,Y
2024-12-01,창고 및 운송관련 서비스업|경기도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,266.6350188390896,창고 및 운송관련 서비스업,경기도,최우수,Y
2024-12-01,부동산업|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,262.9437587280425,부동산업,경상북도,일반,Y
2024-12-01,섬유제품 제조업; 의복제외|nan|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,262.7125274234418,섬유제품 제조업; 의복제외,,우수,Y
2024-12-01,기타 제품 제조업|경상남도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,250.59058331850977,기타 제품 제조업,경상남도,우수,Y
2024-12-01,기타 운송장비 제조업|대구광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,246.1764705882353,기타 운송장비 제조업,대구광역시,최우수,Y
2024-12-01,연구개발업|서울특별시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,246.0,연구개발업,서울특별시,일반,N
2024-12-01,자동차 및 부품 판매업|대구광역시|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,240.79714399285675,자동차 및 부품 판매업,대구광역시,일반,N
2024-12-01,"의료, 정밀, 광학기기 및 시계 제조업|대구광역시|일반|N",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,240.05717702103973,"의료, 정밀, 광학기기 및 시계 제조업",대구광역시,일반,N
